title|category|tags_string|date|content
Жюри определило победителей конкурса детских рисунков, посвященного Году семьи в России|Общество|ОблДума|28.06.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. Состоялось заседание оргкомитета конкурса детских рисунков, посвященного Году семьи в России. Жюри оценило полсотни творческих работ колымских ребят и определило победителей во всех возрастных категориях.Конкурс проводит Департамент административных органов Магаданской области совместно с региональным отделением партии «Единая Россия» - активом партийного проекта «Крепкая семья», координатором которого на Колыме является заместитель председателя областной Думы Виктория Голубева.Конкурс проводится среди детей в возрасте от 7 до 18 лет в номинациях «Моя семья», «Традиции нашей семьи», «Увлечения нашей семьи» и «Год Семьи в России». Организаторы получили чуть более 50 рисунков, исполненных в различных техниках и с использованием всевозможных художественных материалов.Как рассказала Виктория Голубева, работы прислали ребята из Магадана, Усть-Омчуга, Олы, Талона. Много конкурсантов представляют областной детский дом, расположенный в поселке Ола.- Считаю, необходимо заниматься духовно-нравственным воспитанием и развитием творческого потенциала подрастающего поколения. Через такие конкурсы ребята узнают, что такое традиционные семейные ценности, и учатся их хранить, узнают больше об истории своей семьи, - отметила Виктория Голубева. – Рисунки на конкурс поступили замечательные, отражающие особенности нашего северного края, рассказывающие об очень добрых, теплых традициях, которые есть в семьях колымчан.Жюри определило победителей в трех возрастных группах. Также специальные призы будут вручены от Союза женщин России, партийного проекта «Крепкая семья», Управления Министерства юстиции и Магаданского областного союза организаций профсоюзов. Награждение пройдет 6 июля на «Семейном пикнике» в преддверии Дня семьи, любви и верности. Часть победителей получат награды позже на других площадках в своих населенных пунктах.
Виктория Голубева приняла участие в заседании регионального отделения Союза женщин России|Общество|ЕР|26.01.2021|МАГАДАН. КОЛЫМА-ИНФОРМ. Заместитель председателя Магаданской областной Думы, региональный координатор партийного проекта «Единой России» «Крепкая семья» Виктория Голубева приняла участие в заседании областного отделения Союза женщин России. Председатель организации Валентина Даричева подвела итоги работы в 2020 году, отметила вклад Союза женщин в укрепление института семьи, защиту прав женщин и совершенствование демографической политики в стране.Виктория Голубева рассказала о проведенных мероприятиях по долгосрочной программе «Равенство. Развитие. Мир в ХХI веке» по направлению «Крепкая семья - стабильное государство». «Результаты работы организации были высоко оценены президентом Российской Федерации, который своим Указом присвоил «Союзу женщин России» особый статус общероссийской общественно-государственной организации. НКО, имеющие такую организационно-правовую форму, получают системную, официальную поддержку государства, что безусловно положительно сказывается на результативности работы», - поясняет Виктория Голубева.Валентина Даричева и заместитель председателя правительства Магаданской области Татьяна Савченко поздравили всех участников заседания с 30-летием Союза женщин России, который праздновался в 2020 году, и вручили юбилейные награды самым активным представительницам женского движения Колымы. Виктория Голубева награждена памятной медалью «Дочерям Отчизны».- Сегодня был отмечен наш скромный вклад в достижении целей и решении задач, стоящих перед региональным отделением Союза женщин России, – отметила депутат. – Я с большой гордостью приняла данную награду. Много лет мы плодотворно сотрудничаем с организацией на благо магаданок.
В Магаданской области продолжается акция «Кибербезопасность»|Общество|None|17.11.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. В Магаданской области продолжается масштабное оперативно-профилактическое мероприятия ""Кибербезопасность"". Полицейские проводят беседы в коллективах и рассказывают гражданам о том, как защититься от преступных посягательств. Посещаются учреждения образования, общества с ограниченной ответственностью, предприятия различных форм собственности и видов деятельности. Задача – донести информацию до максимального числа колымчан.К примеру, заместитель начальника Управления уголовного розыска УМВД Максим Мягков, беседуя с представителями отдела по обеспечению деятельности мировых судей, акцентировал внимание на необходимости проявления бдительности и осторожности. Полковник полиции привел ряд убедительных примеров того, что не стоит верить неизвестным, подробно рассказав об уловках, которые используют злоумышленники.В поселке Ола начальник Отделения МВД России по Ольскому району Владимир Кошкин встретился с представителями администрации муниципального образования. Подполковник полиции  рассказал о несложных правилах, соблюдая которые, можно избежать неприятных последствий беседы со злоумышленниками, самое главное из них – никогда не верить неизвестным.Пресс-служба УМВД России по Магаданской области"
ВТБ нарастил портфель классических розничных сбережений на 20%|Разное|ВТБ|09.07.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. По оценке ВТБ, общерыночный объем рублевых пассивов в первом полугодии может вырасти на 13%. Сам банк традиционно растет быстрее – портфель классических розничных сбережений в рублях за шесть месяцев увеличился на 1,3 трлн рублей (+20%). Для сравнения за первое полугодие 2023 года прирост составил 8% (375 млрд руб.). Объем портфеля средств клиентов в рублях приблизился к отметке в 7,5 трлн рублей. Общий портфель сбережений розничных клиентов ВТБ достиг 8,1 трлн рублей (+ 18% с начала года).Общий объем срочных депозитов в ВТБ с начала года увеличился на 20% – на 950 млрд рублей. С начала года клиенты банка открыли более 3 млн накопительных счетов. Сформированный ими портфель превысил 1,5 трлн рублей, увеличившись за I полугодие на 340 млрд рублей.«Рынок сбережений сейчас существенно разогрет: мы наблюдаем регулярное повышение ставок, в том числе у ключевых игроков. Вкладчики стремятся зафиксировать высокий уровень доходности, но в то же время обращают внимание и на программы лояльности, и на доступность семейных преференций», – прокомментировал старший вице-президент ВТБ Дмитрий Брейтенбихер.В этом году рынок сбережений физлиц в России вырастет на 24%, обновив рекорд прошлого года. Уже по итогам первого полугодия общий портфель розничных пассивов должен достигнуть 50 трлн рублей, а к концу года – порядка 56 трлн.
Лучшим новогодним подарком в Магадане для женщин будет отпуск, для мужчин — деньги|Общество|Новый Год|10.12.2022|МАГАДАН. КОЛЫМА-ИНФОРМ. Самый желанный подарок на новый год — деньги, на втором месте — отпуск и недвижимость. Магаданцы рассказали сервису по поиску высокооплачиваемой работыSuperJob, о каком подарке мечтают больше всего. В открытом опросе приняли участие экономически активные граждане.В качестве новогоднего подарка магаданцы чаще всего мечтают получить деньги (15%). Отпуск для горожан столь же желанен, как и недвижимость (по 14% голосов). 13% хотели бы на Новый год обзавестись новым девайсом. Об автомобиле мечтают 10%. О новом наряде или аксессуарах — 7% опрошенных. По 4% желают получить на Новый год драгоценности и домашнее животное. Столько же мечтает о ремонте (4%). Среди прочих желанных подарков — парфюм, спортивная экипировка, лодки, мебель, мотоциклы, музыкальные инструменты, сертификаты на обучение и сладости.Мужчины чаще мечтают о деньгах, новых девайсах и автомобилях. Женщины — об отпуске, недвижимости и новых нарядах.В целом за два года предпочтения в новогодних подарках россиян поменялись: в 2020 году самым желанным был автомобиль, сейчас — деньги. Об отпуске в качестве новогоднего подарка россияне с каждым годом мечтают все чаще: 11% в 2020 году, 13% год назад и 15% сейчас.Время проведения: 26 ноября — 4 декабря 2022 года
No Title|Разное|None|No Date|No Content
Грибное чудо на Колыме|Разное|None|21.08.2009|Любовь Васильевна Исайкина из Ягодного очень радуется колымской природе и гордится ею. Очередное грибное чудо она нашла в лесу. Заядлая таежница сколько себя помнит на Колыме, столько и восхищается местной природой..- Собираю я грибочки в своем укромном месте и вижу: что-то белеет под кустом. Присмотрелась, а это необычный гриб, да не один.Дома есть большая книга, там обо всех грибах написано. Оказалось, название его чешуйчатка золотистая. Читаю далее: «...условно съедобный гриб, четвертой категории, употребляется свежим, соленым и маринованным».А однажды она нашла необычный и красивый гриб. Большой, низкий, его шляпа была как будто из кружевных слоев.Любовь Васильевна также из книги узнала, что находка - кружевница - и занесена в Красную книгу.Наталья Кнейс
Магаданская областная Дума выпустила сборник «Законы Магаданской области-2023: социальные гарантии и экономическое развитие»|Власть и политика|ОблДума|20.03.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. Магаданская областная Дума выпустила сборник «Законы Магаданской области-2023: социальные гарантии и экономическое развитие». За прошлый год депутатами был принят 101 закон, из них: 15 базовых, 84 о внесении изменений в действующие законы, два о признании утратившим силу закона и отдельной статьи закона и об отмене закона. Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе Магаданской областной Думы.- Законодательная деятельность парламента была нацелена на эффективную реализацию национальных проектов, поступательное развитие экономики и сохранение на Колыме социальной стабильности, поддержку и повышение качества жизни наших земляков. Совершенствуя правовое пространство, депутаты ориентировались на активное участие Магаданской области в федеральных программах, использование современных механизмов комплексного развития территорий, привлечение инвестиций для модернизации инфраструктуры, открытие новых производств и создание рабочих мест. Благодаря принятым законам, регион поступательно развивался, экономика успешно адаптировалась к меняющимся реалиям, колымчане комфортно жили на Северо-Востоке России и сегодня уверенно смотрят в будущее, - уверен спикер заксобрания КолымыСергей Абрамов.Сборник состоит из 12 разделов, в которых представлена информация об основных принятых законах, касающихся социальной поддержки детей-сирот, молодых специалистов, многодетных семей. В нем можно узнать о гарантиях для семей участников специальной военной операции в случае потери кормильца и об освобождении от уплаты транспортного налога, о формировании бюджетов Магаданской области, Особой экономической зоны и Территориального фонда обязательного медицинского страхования, а также об организации перевозок пассажиров и багажа легковым такси, обеспечении общественного порядка, регулировании продажи алкоголя, налогообложении и медицинском страховании граждан.Издание будет распространяться через общественные приемные политических партий, а также доступно в здании Магаданской областной Думы и в электронном виде на официальном сайте заксобранияпо ссылке."
В Магаданской области полицейские устанавливают обстоятельства дорожной аварии на 201 километре автодороги Палатка – Кулу – Нексикан|Происшествия|ДТП|28.05.2023|МАГАДАН. КОЛЫМА-ИНФОРМ. 27 мая 2023 года около 17.25 в дежурную часть Отделения МВД России по Тенькинскому району поступило сообщение от граждан о том, что на 201 километре автодороги Палатка – Кулу – Нексикан произошло ДТП.Следственно-оперативной группой установлено, что 15-летний житель поселка Усть-Омчуг взял ключи от автомобиля «Тойота Ленд Крузер», принадлежащего его родителям, и в компании своих одноклассников решил прокатиться по улицам окружного центра.Выехав на трассу, в 20 километрах от посёлка Усть-Омчуг, подросток не справился с управлением и совершил съезд в кювет с последующим опрокидыванием транспортного средства.В результате ДТП водитель и четверо пассажиров внедорожника получили телесные повреждения. Бригадой скорой медицинской помощи пострадавшие были доставлены в Тенькинскую районную больницу.По факту дорожной аварии сотрудниками полиции проводится проверка, устанавливаются все обстоятельства произошедшего.Пресс-служба УМВД России по Магаданской области
No Title|Общество|None|No Date|No Content
